id,name,genres
5mlbvTfWUOfDrUIK6dkNzv,Poppy,alt z
1VBflYyxBhnDc9uVib98rw,Icona Pop,"candy pop, dance pop, electropop, metropopolis, swedish electropop, swedish synthpop"
62DmErcU7dqZbJaDqwsqzR,Popcaan,"dancehall, jamaican hip hop, reggae fusion, traphall"
1pRaG81GsVtaTBuVSpldt2,Pop Evil,"alternative metal, nu metal, post-grunge"
6VTJXNmmevnkJNTxh5sHuJ,Pop,
2hq1yEIcPd7KMLmU6h77Cg,Lil Poppa,"florida drill, florida rap"
6Wjm7HxPEEhb5RJWKnL7mO,Pop,
7t0FNxN9mqZCKp60lxLqXO,POP,
4STmXOXUF3UieHU46NWLVt,Poppy Baskcomb,
1ho0T3EIfr7vyedzeKWxRR,Pop,
33EUXrFKGjpUSGacqEHhU4,Iggy Pop,"alternative rock, glam rock, permanent wave, protopunk, rock"
5JJo1kUSYuGoOdrnsFpPTx,POP,
7ahuvq1mbb4idwG1iJbSFG,Cassadee Pope,"contemporary country, country road, modern country rock, pop emo"
1XOqmrrYqHTsGTkYB07GBT,Pop,
6CmXhyslohOFRJMtPpRm4O,Ron Pope,"neo mellow, piano rock, viral pop"
0dq3zNAV2DrHnCFGewRvqH,Pop,
6DwZmisccKHHGmMGnCn4yv,Wow Popy,"cubaton, reparto"
6QmOIo7nEZUPAUCUhpPWzh,POP,
08DN8ZbOSeuTELiQjc4Jl8,poptropicaslutz!,"hyper-rock, hyperpop"
0zemjE6yZJFnAdZjWOfgdG,POP,
5wWvcn0hJXPhCw9eYUody0,Derek Pope,
0jMtJ403e6CJuKAue7OE6C,Pop,
7CIcEIOiWaZcEH35cpsdZq,Boston Pops Orchestra,"easy listening, pops orchestra"
4jIK0uaFcae1pjCIfFrw61,POP,
4YOM5excFC1lf3sDs1fsh3,Pop Mage,
6z1ICS39sVbupILPXKHNZt,Pop,
5ZZ2zIylJkPJVKZDVwW29B,Los Populares Del Llano,banda sinaloense
1BMHgKnhvFfUVcRbKVxM8V,POP,
1CdLG4i1rTEOsex2UE0jCH,Nacha Pop,"cantautor, latin alternative, mexican rock, rock en espanol, spanish new wave, spanish pop"
32cIQ73tQrGrb8OsseOQLM,Pop,
2ossO7Sa8OJ0D0PQjSF1cQ,The Pop Trolls,
4TfqE26PuQYywZrguMXPzg,Pop,
2lZQRzi0ru5O82CCXxpMAr,Banda los Populares del Llano,banda sinaloense
1BTWNZbqCvsVbeZZxYOD3U,Pop,
3UCKDQvhXwfNt0hXA30aMV,90´s Pop Tour,
1IjLy0X7sHToI7ffmIxxB3,Pop,
0qVJFO1tdBqdhHfwcBoHfE,Alexa Popov,
1tSZifzgWGVVl0if47ran0,POP,
6mZq9w8A6isGakPJcnY4p7,Poppa Cannon,
0VP2PGmBvpBuse8DXR5Dpl,Pop,
6YMWV5AeYoZymMMDonMfsA,Art Popular,"axe, pagode"
3kQEGJlfEny8xecz72w2wG,Pop,
1aB6c7RYaEg0YVD6mcH424,Pop Money,
14Yq4U3cA9pnp3IJpN63di,PoP,
5Uy8Skuxzxf38jMDTndKIU,Populous,"indie electronica, italian electronica, latintronica, pop electronico, puglia indie"
0xCSicfSFQoNOZR0KWNoFX,Pop,
6oPQiSj92N4mk5jXLtX1bl,Poppy Ajudha,"alternative r&b, indie soul, uk contemporary r&b"
53wlQMBGMKYtSrPahEvRta,Pop,
